rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
24,hostile_100+deep_225+serious_300+landscape_1000,24,OpenAlex,https://openalex.org/W4385430633,,10.15607/rss.2023.xix.041,FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation,2023,The International Journal of Robotics Research,Minho Heo; Youngwoon Lee; Doohyun Lee; Joseph J. Lim,https://doi.org/10.15607/rss.2023.xix.041,25,34.813,long-horizon manipulation and rearrangement,TAMP robot manipulation planning | long horizon robot manipulation planning | robot rearrangement planning long horizon,"Fig. 1: FurnitureBench: reproducible real-world furniture assembly benchmark.Benchmarking furniture assembly poses to address many robotic manipulation challenges: long-horizon planning, dexterous control, and visual perception.FurnitureBench is designed to be easy-to-reproduce and easy-to-use with the 3D printable furniture models, robot control software stack, environment setup guide, and large demonstration data.(Left) A decorated room in the real world with furniture models our robot assembled.(Right) A suite of 8 furniture models in our benchmark.Abstract-Reinforcement learning (RL), imitation learning (IL), and task and motion planning (TAMP) have demonstrated impressive performance across various robotic manipulation tasks.However, these approaches have been limited to learning simple behaviors in current real-world manipulation benchmarks, such as pushing or pick-and-place.To enable more complex, longhorizon behaviors of an autonomous robot, we propose to focus on real-world furniture assembly, a complex, long-horizon robot manipulation task that requires addressing many current robotic manipulation challenges to solve.We present FurnitureBench, a reproducible real-world furniture assembly benchmark aimed at providing a low barrier for entry and being easily reproducible, so that researchers across the world can reliably test their algorithms and compare them against prior work.For ease of use, we provide 200+ hours of pre-collected data (5000+ demonstrations), 3D printable furniture models, a robotic environment setup guide, and systematic task initialization.Furthermore, we provide FurnitureSim, a fast and realistic simulator of FurnitureBench.We benchmark the performance of offline RL and IL algorithms on our assembly tasks and demonstrate the need to impr...",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
25,hostile_100+deep_225+serious_300+landscape_1000,25,OpenAlex,https://openalex.org/W4396753551,,10.1109/lra.2024.3398402,Optimistic Reinforcement Learning-Based Skill Insertions for Task and Motion Planning,2024,IEEE Robotics and Automation Letters,Gaoyuan Liu; Joris De Winter; Yuri Durodie; Denis Steckelmacher; Ann Nowe; Bram Vanderborght,https://doi.org/10.1109/lra.2024.3398402,1,34.709,belief-space and uncertain planning,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Task and motion planning (TAMP) for robotics manipulation necessitates long-horizon reasoning involving versatile actions and skills. While deterministic actions can be crafted by sampling or optimizing with certain constraints, planning actions with uncertainty, i.e., probabilistic actions, remains a challenge for TAMP. On the contrary, Reinforcement Learning (RL) excels in acquiring versatile, yet short-horizon, manipulation skills that are robust with uncertainties. In this letter, we design a method that integrates RL skills into TAMP pipelines. Besides the policy, a RL skill is defined with data-driven logical components that enable the skill to be deployed by symbolic planning. A plan refinement sub-routine is designed to further tackle the inevitable effect uncertainties. In the experiments, we compare our method with baseline hierarchical planning from both TAMP and RL fields and illustrate the strength of the method. The results show that by embedding RL skills, we extend the capability of TAMP to domains with probabilistic skills, and improve the planning efficiency compared to the previous methods.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon. Learned components are assumed to generalize over the branch regimes considered.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
26,hostile_100+deep_225+serious_300+landscape_1000,26,OpenAlex,https://openalex.org/W2143936212,,10.1609/icaps.v20i1.13436,Combined Task and Motion Planning for Mobile Manipulation,2010,Proceedings of the International Conference on Automated Planning and Scheduling,Jason Wolfe; Bhaskara Marthi; Stuart Russell,https://doi.org/10.1609/icaps.v20i1.13436,206,34.532,belief-space and uncertain planning,A Constraint-Based Approach to Integrated Task and Motion Planning | Hierarchical Task and Motion Planning in the Now | Sampling-based algorithms for optimal motion planning | integrated task and motion planning manipulation | task and motion planning robotics,"We present a hierarchical planning system and its application to robotic manipulation. The novel features of the system are: 1) it finds high-quality kinematic solutions to task-level problems; 2) it takes advantage of subtask-specific irrelevance information, reusing optimal solutions to state-abstracted subproblems across the search space. We briefly describe how the system handles uncertainty during plan execution, and present results on discrete problems as well as pick-and-place tasks for a mobile robot.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
27,hostile_100+deep_225+serious_300+landscape_1000,27,OpenAlex,https://openalex.org/W3013229733,,10.48550/arxiv.2003.11420,Fast and resilient manipulation planning for target retrieval in clutter,2020,arXiv (Cornell University),Changjoo Nam; Jinhwi Lee; Sang Hun Cheong; Brian Y. Cho; ChangHwan Kim,http://arxiv.org/abs/2003.11420,39,34.502,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | TAMP robot manipulation planning,"This paper presents a task and motion planning (TAMP) framework for a robotic manipulator in order to retrieve a target object from clutter. We consider a configuration of objects in a confined space with a high density so no collision-free path to the target exists. The robot must relocate some objects to retrieve the target without collisions. For fast completion of object rearrangement, the robot aims to optimize the number of pick-and-place actions which often determines the efficiency of a TAMP framework. We propose a task planner incorporating motion planning to generate executable plans which aims to minimize the number of pick-and-place actions. In addition to fully known and static environments, our method can deal with uncertain and dynamic situations incurred by occluded views. Our method is shown to reduce the number of pick-and-place actions compared to baseline methods (e.g., at least 28.0% of reduction in a known static environment with 20 objects).",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
28,hostile_100+deep_225+serious_300+landscape_1000,28,OpenAlex,https://openalex.org/W3153510877,,10.1109/ro-man50785.2021.9515539,Hierarchical Human-Motion Prediction and Logic-Geometric Programming for Minimal Interference Human-Robot Tasks,2021,,An T. Le; Philipp Kratzer; Simon Hagenmayer; Marc Toussaint; Jim Mainprice,https://doi.org/10.1109/ro-man50785.2021.9515539,4,34.175,optimization / geometric-constraint TAMP,Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | TAMP robot manipulation planning | logic geometric programming robot planning,"In this paper, we tackle the problem of human-robot coordination in sequences of manipulation tasks. Our approach integrates hierarchical human motion prediction with Task and Motion Planning (TAMP). We first devise a hierarchical motion prediction approach by combining Inverse Reinforcement Learning and short-term motion prediction using a Recurrent Neural Network. In a second step, we propose a dynamic version of the TAMP algorithm Logic-Geometric Programming (LGP) [1]. Our version of Dynamic LGP, replans periodically to handle the mismatch between the human motion prediction and the actual human behavior. We assess the efficacy of the approach by training the prediction algorithms and testing the framework on the publicly available MoGaze dataset [2].",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization. Learned components are assumed to generalize over the branch regimes considered.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
29,hostile_100+deep_225+serious_300+landscape_1000,29,OpenAlex,https://openalex.org/W3034358814,,10.48550/arxiv.2006.06444,Learning compositional models of robot skills for task and motion planning,2020,arXiv (Cornell University),Zi Wang; Caelan Reed Garrett; Leslie Pack Kaelbling; Tomas LozanoPerez,http://arxiv.org/abs/2006.06444,82,34.07,long-horizon manipulation and rearrangement,Integrated Task and Motion Planning in Belief Space | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | conditional planning robotics manipulation | failure recovery robot task planning | integrated task and motion planning manipulation | long horizon robot manipulation planning | stream based task and motion planning | task and motion planning robotics,"The objective of this work is to augment the basic abilities of a robot by learning to use sensorimotor primitives to solve complex long-horizon manipulation problems. This requires flexible generative planning that can combine primitive abilities in novel combinations and thus generalize across a wide variety of problems. In order to plan with primitive actions, we must have models of the actions: under what circumstances will executing this primitive successfully achieve some particular effect in the world? We use, and develop novel improvements on, state-of-the-art methods for active learning and sampling. We use Gaussian process methods for learning the constraints on skill effectiveness from small numbers of expensive-to-collect training examples. Additionally, we develop efficient adaptive sampling methods for generating a comprehensive and diverse sequence of continuous candidate control parameter values (such as pouring waypoints for a cup) during planning. These values become end-effector goals for traditional motion planners that then solve for a full robot motion that performs the skill. By using learning and planning methods in conjunction, we take advantage of the strengths of each and plan for a wide variety of complex dynamic manipulation tasks. We demonstrate our approach in an integrated system, combining traditional robotics primitives with our newly learned models using an efficient robot task and motion planner. We evaluate our approach both in simulation and in the real world through measuring the quality of the selected primitive actions. Finally, we apply our integrated system to a variety of long-horizon simulated and real-world manipulation problems.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
30,hostile_100+deep_225+serious_300+landscape_1000,30,OpenAlex,https://openalex.org/W4404571289,,10.48550/arxiv.2411.11833,Differentiable GPU-Parallelized Task and Motion Planning,2024,arXiv (Cornell University),"William Shen; Caelan Reed Garrett; Kumar, Nishanth; Ankit Goyal; Tucker Hermans; Kaelbling, Leslie Pack; Lozano-Perez, Tomas; Fabio Ramos",http://arxiv.org/abs/2411.11833,0,34.0,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Planning long-horizon robot manipulation requires making discrete decisions about which objects to interact with and continuous decisions about how to interact with them. A robot planner must select grasps, placements, and motions that are feasible and safe. This class of problems falls under Task and Motion Planning (TAMP) and poses significant computational challenges in terms of algorithm runtime and solution quality, particularly when the solution space is highly constrained. To address these challenges, we propose a new bilevel TAMP algorithm that leverages GPU parallelism to efficiently explore thousands of candidate continuous solutions simultaneously. Our approach uses GPU parallelism to sample an initial batch of solution seeds for a plan skeleton and to apply differentiable optimization on this batch to satisfy plan constraints and minimize solution cost with respect to soft objectives. We demonstrate that our algorithm can effectively solve highly constrained problems with non-convex constraints in just seconds, substantially outperforming serial TAMP approaches, and validate our approach on multiple real-world robots. Project website and code: https://cutamp.github.io",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
31,hostile_100+deep_225+serious_300+landscape_1000,31,OpenAlex,https://openalex.org/W4380551927,,10.48550/arxiv.2306.06531,AutoTAMP: Autoregressive Task and Motion Planning with LLMs as Translators and Checkers,2023,arXiv (Cornell University),"Yongchao Chen; Jacob Arkin; Dawson, Charles; Yang Zhang; Nicholas Roy; Chuchu Fan",http://arxiv.org/abs/2306.06531,72,33.865,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Integrated Task and Motion Planning in Belief Space | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | integrated task and motion planning manipulation | robot rearrangement planning long horizon | task and motion planning robotics,"For effective human-robot interaction, robots need to understand, plan, and execute complex, long-horizon tasks described by natural language. Recent advances in large language models (LLMs) have shown promise for translating natural language into robot action sequences for complex tasks. However, existing approaches either translate the natural language directly into robot trajectories or factor the inference process by decomposing language into task sub-goals and relying on a motion planner to execute each sub-goal. When complex environmental and temporal constraints are involved, inference over planning tasks must be performed jointly with motion plans using traditional task-and-motion planning (TAMP) algorithms, making factorization into subgoals untenable. Rather than using LLMs to directly plan task sub-goals, we instead perform few-shot translation from natural language task descriptions to an intermediate task representation that can then be consumed by a TAMP algorithm to jointly solve the task and motion plan. To improve translation, we automatically detect and correct both syntactic and semantic errors via autoregressive re-prompting, resulting in significant improvements in task completion. We show that our approach outperforms several methods using LLMs as planners in complex task domains. See our project website https://yongchao98.github.io/MIT-REALM-AutoTAMP/ for prompts, videos, and code.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
32,hostile_100+deep_225+serious_300+landscape_1000,32,OpenAlex,https://openalex.org/W4389469842,,10.48550/arxiv.2312.02731,D-LGP: Dynamic Logic-Geometric Program for Reactive Task and Motion Planning,2023,arXiv (Cornell University),Teng Xue; Amirreza Razmjoo; Sylvain Calinon,http://arxiv.org/abs/2312.02731,0,33.8,optimization / geometric-constraint TAMP,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning,"Many real-world sequential manipulation tasks involve a combination of discrete symbolic search and continuous motion planning, collectively known as combined task and motion planning (TAMP). However, prevailing methods often struggle with the computational burden and intricate combinatorial challenges, limiting their applications for online replanning in the real world. To address this, we propose Dynamic Logic-Geometric Program (D-LGP), a novel approach integrating Dynamic Tree Search and global optimization for efficient hybrid planning. Through empirical evaluation on three benchmarks, we demonstrate the efficacy of our approach, showcasing superior performance in comparison to state-of-the-art techniques. We validate our approach through simulation and demonstrate its reactive capability to cope with online uncertainty and external disturbances in the real world. Project webpage: https://sites.google.com/view/dyn-lgp.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
33,hostile_100+deep_225+serious_300+landscape_1000,33,OpenAlex,https://openalex.org/W7163092714,,,Anomaly? Weve got your back:A Bayesian Approach to Anomaly Handling through Task and Motion Planning,2026,University of Birmingham Research Portal (University of Birmingham),Yazz Warsame; Charlie Street,https://research.birmingham.ac.uk/en/publications/93834d12-b90c-41b5-a119-2096ff3cb598,0,33.6,sampling-based TAMP,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Autonomous robotic systems are susceptible to anomalies, i.e., deviations from expected behavior. Anomalies are caused by environmental changes, execution errors, or stochastic action outcomes, which can prevent task completion. If unaddressed, these anomalies can compromise the robots ability to complete its tasks. Existing anomaly-handling approaches, namely proactive and reactive methods, fall short in effectively addressing failures that have already occurred. Such failures require structured diagnosis and deliberation rather than immediate, predefined responses. We refer to this as posthoc anomaly handling. To address this, we propose BN-TAMP, a Bayesian Network and Task and Motion Planning (TAMP) framework for post-hoc anomaly handling. BN-TAMP detects anomalies via rule-based threshold checks on symbolic state representations, identifies them through a learned Bayesian Network to infer the feasible continuous goal state, and generates corrective actions using PDDLStream to transition the system back to an anomaly-free state. Our evaluation considers two validation regimes, stepwise (after each action) and final (only at the end). Results demonstrate that BN-TAMP achieves higher success rates with fewer actions and shorter execution times, highlighting its effectiveness in post-hoc anomaly handling.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
34,hostile_100+deep_225+serious_300+landscape_1000,34,OpenAlex,https://openalex.org/W3205467518,,10.1109/icra48506.2021.9561209,Continuous Optimization-Based Task and Motion Planning with Signal Temporal Logic Specifications for Sequential Manipulation,2021,,Rin Takano; Hiroyuki Oyama; Masaki Yamakita,https://doi.org/10.1109/icra48506.2021.9561209,20,33.471,optimization / geometric-constraint TAMP,Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | TAMP robot manipulation planning | logic geometric programming robot planning,"We propose a new optimization-based task and motion planning (TAMP) with signal temporal logic (STL) specifications for robotic sequential manipulation such as pick-and-place tasks. Given a high-level task specification, the TAMP problem is to plan a trajectory that satisfies the specification. This is, however, a challenging problem due to the difficulty of combining continuous motion planning and discrete task specifications. The optimization-based TAMP with temporal logic specifications is a promising method, but existing works use mixed integer problems (MIP) and do not scale well. To address this issue, in our approach, a new hybrid system model without discrete variables is introduced and combined with smooth approximation methods for STL. This allows the TAMP to be formulated as a nonlinear programming problem whose computational cost is significantly less than that of MIP. Furthermore, it is also possible to deal with nonlinear dynamics and geometric constraints represented by nonlinear functions. The effectiveness of the proposed method is demonstrated with both numerical experiments and a real robot.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
35,hostile_100+deep_225+serious_300+landscape_1000,35,OpenAlex,https://openalex.org/W4387929516,,10.48550/arxiv.2310.14816,Modular Multi-Level Replanning TAMP Framework for Dynamic Environment,2023,arXiv (Cornell University),Tao Lin; Chengfei Yue; Ziran Liu; Xibin Cao,http://arxiv.org/abs/2310.14816,11,32.976,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Task and Motion Planning (TAMP) algorithms can generate plans that combine logic and motion aspects for robots. However, these plans are sensitive to interference and control errors. To make TAMP more applicable in real-world, we propose the modular multi-level replanning TAMP framework(MMRF), blending the probabilistic completeness of sampling-based TAMP algorithm with the robustness of reactive replanning. MMRF generates an nominal plan from the initial state, then dynamically reconstructs this nominal plan in real-time, reorders robot manipulations. Following the logic-level adjustment, GMRF will try to replan a new motion path to ensure the updated plan is feasible at the motion level. Finally, we conducted real-world experiments involving stack and rearrange task domains. The result demonstrate MMRF's ability to swiftly complete tasks in scenarios with varying degrees of interference.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
36,hostile_100+deep_225+serious_300+landscape_1000,36,OpenAlex,https://openalex.org/W1657148145,,,Increased Flexibility and Robustness of Mars Rovers,1999,ESASP,L. J. Bresina; Keith Golden; Elliot Smith; R. Washington,https://ui.adsabs.harvard.edu/abs/1999ESASP.440..167B/abstract,54,32.812,contingent and nondeterministic planning,contingency planning robotics | contingent planning robot execution,"Increased Flexibility and Robustness of Mars RoversJohn L. BresinaPhone:650.604.3365bresina@ptolemy.arc.nasa.govKeith Golden650.604.3585kgoldenDavid E. SmithPhone:650.604.4383de2smith@ptolemy.arc.nasa.govRichWashington650.604.1140richwptolemy.arc.nasa.govFax:650.604.3594NASA Ames Research CenterMail Stop: 269-2Mo ett Field, CA 94035-100 0 USAIn Proceedings of the5thInternational Syposium on AI, Robotics, and Automation in Space.ABSTRACTOur overall ob jective is to improe the pro ductivityofMars rovers by increasing the exibility and robustnessof their autonomous b ehavior. Toachieve this ob jec-tive, we set out to increase the on-b oard autonomyofrovers and enable commanding at a higher level with amore exible command language. In February, 1999,we demonstrated some of our rover autonomy tech-nologies as part of a Marsokho d rover eld test thatsimulated asp ects of the Mars '01('05 missions. In thispap er, we present the commanding language employedin this eld test, called theContingent Rover Language(CRL), and describ e the ground to ols and on-b oardexecutive capabilities that were develop ed to generateand execute CRL plans. A key feature of CRL is thatit enables the enco ding of contingent plans sp ecifyingwhat to do if a failure o ccurs, as well as what to do ifa serendipitous science opp ortunity arises.1. INTRODUCTIONTraditionally, spacecraft commanding is accomplishedviarigid time-stamp ed sequences of primitive op era-tions. If anything go es wrong during execution, built-in routines attempt to safe the spacecraft and awaitfurther instructions from Earth. As NASA missionsb ecome more challenging, more sophisticated space-craft are required, as are more advanced means ofcommanding them.As a case in p oint, the MarsPath nder's Microrover Flight Exp eriment mad...",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
37,hostile_100+deep_225+serious_300+landscape_1000,37,OpenAlex,https://openalex.org/W4403882555,,10.48550/arxiv.2410.02193,Guiding Long-Horizon Task and Motion Planning with Vision Language Models,2024,arXiv (Cornell University),Zhutian Yang; Caelan Reed Garrett; Dieter Fox; Tomas LozanoPerez; Leslie Pack Kaelbling,http://arxiv.org/abs/2410.02193,2,32.558,long-horizon manipulation and rearrangement,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | robot rearrangement planning long horizon,"Vision-Language Models (VLM) can generate plausible high-level plans when prompted with a goal, the context, an image of the scene, and any planning constraints. However, there is no guarantee that the predicted actions are geometrically and kinematically feasible for a particular robot embodiment. As a result, many prerequisite steps such as opening drawers to access objects are often omitted in their plans. Robot task and motion planners can generate motion trajectories that respect the geometric feasibility of actions and insert physically necessary actions, but do not scale to everyday problems that require common-sense knowledge and involve large state spaces comprised of many variables. We propose VLM-TAMP, a hierarchical planning algorithm that leverages a VLM to generate goth semantically-meaningful and horizon-reducing intermediate subgoals that guide a task and motion planner. When a subgoal or action cannot be refined, the VLM is queried again for replanning. We evaluate VLM- TAMP on kitchen tasks where a robot must accomplish cooking goals that require performing 30-50 actions in sequence and interacting with up to 21 objects. VLM-TAMP substantially outperforms baselines that rigidly and independently execute VLM-generated action sequences, both in terms of success rates (50 to 100% versus 0%) and average task completion percentage (72 to 100% versus 15 to 45%). See project site https://zt-yang.github.io/vlm-tamp-robot/ for more information.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
38,hostile_100+deep_225+serious_300+landscape_1000,38,OpenAlex,https://openalex.org/W3134487742,,10.1109/iros51168.2021.9635941,Learning Symbolic Operators for Task and Motion Planning,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Tom Silver; Rohan Chitnis; Joshua B. Tenenbaum; Leslie Pack Kaelbling; Tomas LozanoPerez,https://doi.org/10.1109/iros51168.2021.9635941,8,32.516,long-horizon manipulation and rearrangement,Hierarchical Task and Motion Planning in the Now | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | integrated task and motion planning manipulation,"Robotic planning problems in hybrid state and action spaces can be solved by integrated task and motion planners (TAMP) that handle the complex interaction between motion-level decisions and task-level plan feasibility. TAMP approaches rely on domain-specific symbolic operators to guide the task-level search, making planning efficient. In this work, we formalize and study the problem of operator learning for TAMP. Central to this study is the view that operators define a lossy abstraction of the transition model of a domain. We then propose a bottom-up relational learning method for operator learning and show how the learned operators can be used for planning in a TAMP system. Experimentally, we provide results in three domains, including long-horizon robotic planning tasks. We find our approach to substantially outperform several baselines, including three graph neural network-based model-free approaches from the recent literature. Video: https://youtu.be/iVfpX9BpBRo. Code: https://git.io/JCT0g",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
