rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
82,hostile_100+deep_225+serious_300+landscape_1000,82,OpenAlex,https://openalex.org/W4404308601,,10.48550/arxiv.2410.18065,"SPIRE: Synergistic Planning, Imitation, and Reinforcement Learning for Long-Horizon Manipulation",2024,arXiv (Cornell University),Zihan Zhou; Animesh Garg; Dieter Fox; Caelan Reed Garrett; Ajay Mandlekar,http://arxiv.org/abs/2410.18065,1,28.709,long-horizon manipulation and rearrangement,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Robot learning has proven to be a general and effective technique for programming manipulators. Imitation learning is able to teach robots solely from human demonstrations but is bottlenecked by the capabilities of the demonstrations. Reinforcement learning uses exploration to discover better behaviors; however, the space of possible improvements can be too large to start from scratch. And for both techniques, the learning difficulty increases proportional to the length of the manipulation task. Accounting for this, we propose SPIRE, a system that first uses Task and Motion Planning (TAMP) to decompose tasks into smaller learning subproblems and second combines imitation and reinforcement learning to maximize their strengths. We develop novel strategies to train learning agents when deployed in the context of a planning system. We evaluate SPIRE on a suite of long-horizon and contact-rich robot manipulation problems. We find that SPIRE outperforms prior approaches that integrate imitation learning, reinforcement learning, and planning by 35% to 50% in average task performance, is 6 times more data efficient in the number of human demonstrations needed to train proficient agents, and learns to complete tasks nearly twice as efficiently. View https://sites.google.com/view/spire-corl-2024 for more details.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
83,hostile_100+deep_225+serious_300+landscape_1000,83,OpenAlex,https://openalex.org/W2055201760,,10.1109/access.2014.2302442,Sampling-Based Robot Motion Planning: A Review,2014,IEEE Access,Mohamed Elbanhawi; Milan Simic,https://doi.org/10.1109/access.2014.2302442,779,28.655,belief-space and uncertain planning,A Constraint-Based Approach to Integrated Task and Motion Planning | Integrated Task and Motion Planning in Belief Space | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | Planning Algorithms LaValle motion planning | Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces | Robotics Task and Motion Planning A Survey | Sampling-based algorithms for optimal motion planning | behavior trees robotics manipulation | integrated task and motion planning manipulation | logic geometric programming robot planning | task and motion planning robotics,"Motion planning is a fundamental research area in robotics. Sampling-based methods offer an efficient solution for what is otherwise a rather challenging dilemma of path planning. Consequently, these methods have been extended further away from basic robot planning into further difficult scenarios and diverse applications. A comprehensive survey of the growing body of work in sampling-based planning is given here. Simulations are executed to evaluate some of the proposed planners and highlight some of the implementation details that are often left unspecified. An emphasis is placed on contemporary research directions in this field. We address planners that tackle current issues in robotics. For instance, real-life kinodynamic planning, optimal planning, replanning in dynamic environments, and planning under uncertainty are discussed. The aim of this paper is to survey the state of the art in motion planning and to assess selected planners, examine implementation details and above all shed a light on the current challenges in motion planning and the promising approaches that will potentially overcome those problems.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,The field taxonomy and known limitation map.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
84,hostile_100+deep_225+serious_300+landscape_1000,84,OpenAlex,https://openalex.org/W7134016727,,,Large-Language-Model-Guided State Estimation for Partially Observable Task and Motion Planning,2026,arXiv (Cornell University),Yoonwoo Kim; Raghav Arora; Roberto Martin-Martin; Peter Stone; Ben Abbatematteo; Yoonchang Sung,http://arxiv.org/abs/2603.03704,0,28.6,belief-space and uncertain planning,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Robot planning in partially observable environments, where not all objects are known or visible, is a challenging problem, as it requires reasoning under uncertainty through partially observable Markov decision processes. During the execution of a computed plan, a robot may unexpectedly observe task-irrelevant objects, which are typically ignored by naive planners. In this work, we propose incorporating two types of common-sense knowledge: (1) certain objects are more likely to be found in specific locations; and (2) similar objects are likely to be co-located, while dissimilar objects are less likely to be found together. Manually engineering such knowledge is complex, so we explore leveraging the powerful common-sense reasoning capabilities of large language models (LLMs). Our planning and execution framework, CoCo-TAMP, introduces a hierarchical state estimation that uses LLM-guided information to shape the belief over task-relevant objects, enabling efficient solutions to long-horizon task and motion planning problems. In experiments, CoCo-TAMP achieves an average reduction of 62.7% in planning and execution time in simulation, and 72.6% in real-world demonstrations, compared to a baseline that does not incorporate either type of common-sense knowledge.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
85,hostile_100+deep_225+serious_300+landscape_1000,85,OpenAlex,https://openalex.org/W3211238905,,10.26092/elib/4206,FailRecOnt An Ontology-Based Framework for Failure Interpretation and Recovery in Planning and Execution,2021,UPCommons institutional repository (Universitat Politecnica de Catalunya),"Mohammed Diab; Mihai Pomarlan; Stefano Borgo; Beler, Daniel; Rossel, Jan; John Bateman; Michael Beetz",https://hdl.handle.net/2117/357471,1,28.509,contingent and nondeterministic planning,Contingent Planning via Heuristic Forward Search with Implicit Belief States | contingent planning robot execution,"Autonomous mobile robot manipulators have the potential to act as robot helpers at home to improve quality of life for various user populations, such as elderly or handicapped people, or to act as robot co-workers on factory floors, helping in assembly applications where collaborating with other operators may be required. However, robotic systems do not show robust performance when placed in environments that are not tightly controlled. An important cause of this is that failure handling often consists of scripted responses to foreseen complications, which leaves the robot vulnerable to new situations and ill-equipped to reason about failure and recovery strategies. Instead of libraries of hard-coded reactions that are expensive to develop and maintain, more sophisticated reasoning mechanisms are needed to handle failure. This requires an ontological characterization of what failure is, what concepts are useful to formulate causal explanations of failure, and integration with knowledge of available resources including the capabilities of the robot as well as those of other potential cooperative agents in the environment, e.g. a human user. We propose the FailRecOnt framework as a step in this direction. We have integrated an ontology for failure interpretation and recovery with a contingency-based task and motion planning framework such that a robot can deal with uncertainty, recover from failures, and deal with human-robot interactions. A motivating example has been introduced to justify this proposal. The proposal has been tested with a challenging scenario.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
86,hostile_100+deep_225+serious_300+landscape_1000,86,OpenAlex,https://openalex.org/W4298310829,,10.48550/arxiv.2202.10667,Visually Grounded Task and Motion Planning for Mobile Manipulation,2022,arXiv (Cornell University),Xiaohan Zhang; Yifeng Zhu; Yan Ding; Yuke Zhu; Peter Stone; Shiqi Zhang,http://arxiv.org/abs/2202.10667,20,28.471,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | TAMP robot manipulation planning,"Task and motion planning (TAMP) algorithms aim to help robots achieve task-level goals, while maintaining motion-level feasibility. This paper focuses on TAMP domains that involve robot behaviors that take extended periods of time (e.g., long-distance navigation). In this paper, we develop a visual grounding approach to help robots probabilistically evaluate action feasibility, and introduce a TAMP algorithm, called GROP, that optimizes both feasibility and efficiency. We have collected a dataset that includes 96,000 simulated trials of a robot conducting mobile manipulation tasks, and then used the dataset to learn to ground symbolic spatial relationships for action feasibility evaluation. Compared with competitive TAMP baselines, GROP exhibited a higher task-completion rate while maintaining lower or comparable action costs. In addition to these extensive experiments in simulation, GROP is fully implemented and tested on a real robot system.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
87,hostile_100+deep_225+serious_300+landscape_1000,87,OpenAlex,https://openalex.org/W4312054168,,10.48550/arxiv.2212.09672,Chemistry Lab Automation via Constrained Task and Motion Planning,2022,arXiv (Cornell University),"Naruki Yoshikawa; Andrew Zou Li; Kourosh Darvish; Yuchi Zhao; Haoping Xu; Kuramshin, Artur; Alan AspuruGuzik; Animesh Garg",http://arxiv.org/abs/2212.09672,13,28.422,sampling-based TAMP,PDDLStream robotics planning,"Chemists need to perform many laborious and time-consuming experiments in the lab to discover and understand the properties of new materials. To support and accelerate this process, we propose a robot framework for manipulation that autonomously performs chemistry experiments. Our framework receives high-level abstract descriptions of chemistry experiments, perceives the lab workspace, and autonomously plans multi-step actions and motions. The robot interacts with a wide range of lab equipment and executes the generated plans. A key component of our method is constrained task and motion planning using PDDLStream solvers. Preventing collisions and spillage is done by introducing a constrained motion planner. Our planning framework can conduct different experiments employing implemented actions and lab tools. We demonstrate the utility of our framework on pouring skills for various materials and two fundamental chemical experiments for materials synthesis: solubility and recrystallization.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
88,hostile_100+deep_225+serious_300+landscape_1000,88,OpenAlex,https://openalex.org/W4287597412,,10.48550/arxiv.2011.08177,A Long Horizon Planning Framework for Manipulating Rigid Pointcloud\n Objects,2020,arXiv (Cornell University),Anthony Simeonov; Yilun Du; Beomjoon Kim; Francois R. Hogan; Joshua B. Tenenbaum; Pulkit Agrawal; Alberto Rodriguez,http://arxiv.org/abs/2011.08177,11,28.376,long-horizon manipulation and rearrangement,TAMP robot manipulation planning | long horizon robot manipulation planning,"We present a framework for solving long-horizon planning problems involving\nmanipulation of rigid objects that operates directly from a point-cloud\nobservation, i.e. without prior object models. Our method plans in the space of\nobject subgoals and frees the planner from reasoning about robot-object\ninteraction dynamics by relying on a set of generalizable manipulation\nprimitives. We show that for rigid bodies, this abstraction can be realized\nusing low-level manipulation skills that maintain sticking contact with the\nobject and represent subgoals as 3D transformations. To enable generalization\nto unseen objects and improve planning performance, we propose a novel way of\nrepresenting subgoals for rigid-body manipulation and a graph-attention based\nneural network architecture for processing point-cloud inputs. We\nexperimentally validate these choices using simulated and real-world\nexperiments on the YuMi robot. Results demonstrate that our method can\nsuccessfully manipulate new objects into target configurations requiring\nlong-term planning. Overall, our framework realizes the best of the worlds of\ntask-and-motion planning (TAMP) and learning-based approaches. Project website:\nhttps://anthonysimeonov.github.io/rpo-planning-framework/.\n",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
89,hostile_100+deep_225+serious_300+landscape_1000,89,OpenAlex,https://openalex.org/W2987879486,,10.1109/icra40945.2020.9196681,Online Replanning in Belief Space for Partially Observable Task and Motion Problems,2020,,Caelan Reed Garrett; Chris Paxton; Tomas LozanoPerez; Leslie Pack Kaelbling; Dieter Fox,https://doi.org/10.1109/icra40945.2020.9196681,7,28.327,belief-space and uncertain planning,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Integrated Task and Motion Planning in Belief Space | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"To solve multi-step manipulation tasks in the real world, an autonomous robot must take actions to observe its environment and react to unexpected observations. This may require opening a drawer to observe its contents or moving an object out of the way to examine the space behind it. Upon receiving a new observation, the robot must update its belief about the world and compute a new plan of action. In this work, we present an online planning and execution system for robots faced with these challenges. We perform deterministic cost-sensitive planning in the space of hybrid belief states to select likely-to-succeed observation actions and continuous control actions. After execution and observation, we replan using our new state estimate. We initially enforce that planner reuses the structure of the unexecuted tail of the last plan. This both improves planning efficiency and ensures that the overall policy does not undo its progress towards achieving the goal. Our approach is able to efficiently solve partially observable problems both in simulation and in a real-world kitchen.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
90,hostile_100+deep_225+serious_300+landscape_1000,90,OpenAlex,https://openalex.org/W4378505290,,10.48550/arxiv.2305.16309,Imitating Task and Motion Planning with Visuomotor Transformers,2023,arXiv (Cornell University),Murtaza Dalal; Ajay Mandlekar; Caelan Reed Garrett; Ankur Handa; Ruslan Salakhutdinov; Dieter Fox,http://arxiv.org/abs/2305.16309,6,28.313,long-horizon manipulation and rearrangement,TAMP robot manipulation planning,"Imitation learning is a powerful tool for training robot manipulation policies, allowing them to learn from expert demonstrations without manual programming or trial-and-error. However, common methods of data collection, such as human supervision, scale poorly, as they are time-consuming and labor-intensive. In contrast, Task and Motion Planning (TAMP) can autonomously generate large-scale datasets of diverse demonstrations. In this work, we show that the combination of large-scale datasets generated by TAMP supervisors and flexible Transformer models to fit them is a powerful paradigm for robot manipulation. To that end, we present a novel imitation learning system called OPTIMUS that trains large-scale visuomotor Transformer policies by imitating a TAMP agent. OPTIMUS introduces a pipeline for generating TAMP data that is specifically curated for imitation learning and can be used to train performant transformer-based policies. In this paper, we present a thorough study of the design decisions required to imitate TAMP and demonstrate that OPTIMUS can solve a wide variety of challenging vision-based manipulation tasks with over 70 different objects, ranging from long-horizon pick-and-place tasks, to shelf and articulated object manipulation, achieving 70 to 80% success rates. Video results and code at https://mihdalal.github.io/optimus/",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
91,hostile_100+deep_225+serious_300+landscape_1000,91,OpenAlex,https://openalex.org/W7108518242,,,Long-Horizon Task and Motion Planning with Learning-Based Geometric Reasoning,2025,HAL (Le Centre pour la Communication Scientifique Directe),"Ait Bouhsain, Smail; Merlau, Baptiste; Alami, Rachid; Simeon, Thierry",https://hal.science/hal-05392791,0,28.2,optimization / geometric-constraint TAMP,TAMP robot manipulation planning,"We propose TAMP-LGR, a novel task and motion planning framework that integrates learned geometric reasoning into a search-based planning process. The approach addresses one of the main challenges in Task and Motion Planning (TAMP), which is the high computational cost of repeated geometric feasibility checks. To address this, we introduce Geometric Reasoning Networks (GRN), a graph neural network that predicts action and grasp feasibility while identifying causes of infeasibility such as inverse kinematic limitations or grasp obstructions. These predictions are used to build a set of geometric constraints that guide the symbolic planner towards feasible solutions. TAMP-LGR combines two complementary heuristics: a feasibility heuristic that prioritizes geometrically valid actions, and an informed cost-to-goal heuristic that leverages infeasibility constraints to reduce the combinatorial complexity of planning. Extensive experiments on challenging single-and multi-robot manipulation benchmarks demonstrate that TAMP-LGR substantially outperforms existing TAMP methods in both efficiency and success rate, and solves large-scale problems that remain challenging for state-of-the-art approaches. We further show how the framework can be extended to mobile manipulators, maintaining its scalability and generalization capabilities.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization. Learned components are assumed to generalize over the branch regimes considered.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
92,hostile_100+deep_225+serious_300+landscape_1000,92,OpenAlex,https://openalex.org/W4414804929,,10.48550/arxiv.2510.00182,A Systematic Study of Large Language Models for Task and Motion Planning With PDDLStream,2025,ArXiv.org,Jorge Mendez-Mendez,http://arxiv.org/abs/2510.00182,0,28.2,sampling-based TAMP,PDDLStream robotics planning,"Using large language models (LLMs) to solve complex robotics problems requires understanding their planning capabilities. Yet while we know that LLMs can plan on some problems, the extent to which these planning capabilities cover the space of robotics tasks is unclear. One promising direction is to integrate the semantic knowledge of LLMs with the formal reasoning of task and motion planning (TAMP). However, the myriad of choices for how to integrate LLMs within TAMP complicates the design of such systems. We develop 16 algorithms that use Gemini 2.5 Flash to substitute key TAMP components. Our zero-shot experiments across 4,950 problems and three domains reveal that the Gemini-based planners exhibit lower success rates and higher planning times than their engineered counterparts. We show that providing geometric details increases the number of task-planning errors compared to pure PDDL descriptions, and that (faster) non-reasoning LLM variants outperform (slower) reasoning variants in most cases, since the TAMP system can direct the LLM to correct its mistakes.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
93,hostile_100+deep_225+serious_300+landscape_1000,93,OpenAlex,https://openalex.org/W4386131956,,10.1109/tro.2023.3297011,Hypergraph-Based Multi-robot Task and Motion Planning,2023,IEEE Transactions on Robotics,James Motes; Tan Chen; Timothy Bretl; Marco Morales; Nancy M. Amato,https://doi.org/10.1109/tro.2023.3297011,23,28.085,long-horizon manipulation and rearrangement,A Constraint-Based Approach to Integrated Task and Motion Planning | Hierarchical Task and Motion Planning in the Now | integrated task and motion planning manipulation | long horizon robot manipulation planning | robot rearrangement planning long horizon | task and motion planning robotics,"In this article, we present a multi-robot task and motion planning method that, when applied to the rearrangement of objects by manipulators, results in solution times up to three orders of magnitude faster than the existing methods and successfully plans for problems with up to 20 objects, more than three times as many objects as comparable methods. We achieve this improvement by decomposing the planning space to consider manipulators alone, objects, and manipulators holding objects. We represent this decomposition with a hypergraph where vertices are decomposed elements of the planning spaces and hyperarcs are transitions between elements. The existing methods use graph-based representations where vertices are full composite spaces and edges are transitions between these. Using the hypergraph reduces the representation size of the planning space for multimanipulator object rearrangement, the number of hypergraph vertices scales linearly with the number of either robots or objects, while the number of hyperarcs scales quadratically with the number of robots and linearly with the number of objects. In contrast, the number of vertices and edges in graph-based representations scales exponentially in the number of robots and objects. We show that similar gains can be achieved for other multi-robot task and motion planning problems.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
94,hostile_100+deep_225+serious_300+landscape_1000,94,OpenAlex,https://openalex.org/W4387356032,,10.48550/arxiv.2310.01775,STAMP: Differentiable Task and Motion Planning via Stein Variational Gradient Descent,2023,arXiv (Cornell University),Yewon Lee; Andrew Z. Li; Philip Huang; Eric Heiden; Krishna Murthy Jatavallabhula; Fabian Damken; Kevin Smith; Derek Nowrouzezahrai,http://arxiv.org/abs/2310.01775,0,28.0,motion planning substrate,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | STRIPStream Integrating Symbolic Planners and Blackbox Samplers | STRIPStream task motion planning | TAMP robot manipulation planning,"Planning for sequential robotics tasks often requires integrated symbolic and geometric reasoning. TAMP algorithms typically solve these problems by performing a tree search over high-level task sequences while checking for kinematic and dynamic feasibility. This can be inefficient because, typically, candidate task plans resulting from the tree search ignore geometric information. This often leads to motion planning failures that require expensive backtracking steps to find alternative task plans. We propose a novel approach to TAMP called Stein Task and Motion Planning (STAMP) that relaxes the hybrid optimization problem into a continuous domain. This allows us to leverage gradients from differentiable physics simulation to fully optimize discrete and continuous plan parameters for TAMP. In particular, we solve the optimization problem using a gradient-based variational inference algorithm called Stein Variational Gradient Descent. This allows us to find a distribution of solutions within a single optimization run. Furthermore, we use an off-the-shelf differentiable physics simulator that is parallelized on the GPU to run parallelized inference over diverse plan parameters. We demonstrate our method on a variety of problems and show that it can find multiple diverse plans in a single optimization run while also being significantly faster than existing approaches.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
95,hostile_100+deep_225+serious_300+landscape_1000,95,OpenAlex,https://openalex.org/W2805883505,,10.15607/rss.2018.xiv.044,Differentiable Physics and Stable Modes for Tool-Use and Manipulation Planning,2018,,Marc Toussaint; Kelsey R. Allen; Kevin Smith; Joshua B. Tenenbaum,https://doi.org/10.15607/rss.2018.xiv.044,269,27.957,long-horizon manipulation and rearrangement,A Constraint-Based Approach to Integrated Task and Motion Planning | Hierarchical Task and Motion Planning in the Now | Integrated Task and Motion Planning in Belief Space | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | Planning Algorithms LaValle motion planning | Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces | TAMP robot manipulation planning | behavior trees robotics manipulation | conditional planning robotics manipulation | integrated task and motion planning manipulation | logic geometric programming robot planning | stream based task and motion planning,"We consider the problem of sequential manipulation and tool-use planning in domains that include physical interactions such as hitting and throwing. The approach integrates a Task And Motion Planning formulation with primitives that either impose stable kinematic constraints or differentiable dynamical and impulse exchange constraints at the path optimization level. We demonstrate our approach on a variety of physical puzzles that involve tool use and dynamic interactions. We then compare manipulation sequences generated by our approach to human actions on analogous tasks, suggesting future directions and illuminating current limitations.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
96,hostile_100+deep_225+serious_300+landscape_1000,96,OpenAlex,https://openalex.org/W3035991693,,10.1109/access.2020.3003991,A Software Architecture for Service Robots Manipulating Objects in Human Environments,2020,IEEE Access,Changjoo Nam; Seok-Jun Lee; Jeongho Lee; Sang Hun Cheong; Dong Hwan Kim; Chang-Hwan Kim; Incheol Kim; Sung-Kee Park,https://doi.org/10.1109/access.2020.3003991,20,27.871,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | TAMP robot manipulation planning | contingency planning robotics | logic geometric programming robot planning,"This paper presents a software architecture for robots providing manipulation services autonomously in human environments. In an unstructured human environment, a service robot often needs to perform tasks even without human intervention and prior knowledge about tasks and environments. For autonomous execution of tasks, varied processes are necessary such as perceiving environments, representing knowledge, reasoning with the knowledge, and planning for task and motion. While developing each of the processes is important, integrating them into a working system for deployment is also important as a robotic system can bring tangible outcomes when it works in real world. However, such an architecture has been rarely realized in the literature owing to the difficulties of a full integration, deployment, understanding high-level goals without human interventions. In this work, we suggest a software architecture that integrates the components necessary to perform tasks by a real robot without human intervention. We show our architecture composed of deep learning based perception, symbolic reasoning, AI task planning, and geometric motion planning. We implement a deep neural network that produces information about the environment, which are then stored in a knowledge base. We implement a reasoner that processes the knowledge to use the result for task planning. We show our implementation of the symbolic task planner that generates a sequence of motion predicates. We implement an interface that computes geometric information necessary for motion planning to execute the symbolic task plans. We describe the deployment of the architecture through the result of lab tests and a public demonstration. The architecture is developed based on Robot Operating System (ROS) so compatible...",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
